2019 07 13 03:21:07:934 [main ] INFO  - Country [code=CYM  , name=Cayman Islands                          , lanuages=North America                                                                              cities=38000] 
2019 07 13 03:21:07:939 [main ] INFO  - Country [code=CYP  , name=Cyprus                                  , lanuages=Asia                                                                                       cities=754700] 
2019 07 13 03:21:07:945 [main ] INFO  - Country [code=CZE  , name=Czech Republic                          , lanuages=Europe                                                                                     cities=10278100] 
2019 07 13 03:21:07:955 [main ] INFO  - Country [code=DEU  , name=Germany                                 , lanuages=Europe                                                                                     cities=82164700] 
2019 07 13 03:21:07:959 [main ] INFO  - Country [code=DJI  , name=Djibouti                                , lanuages=Africa                                                                                     cities=638000] 
2019 07 13 03:21:07:963 [main ] INFO  - Country [code=DMA  , name=Dominica                                , lanuages=North America                                                                              cities=71000] 
2019 07 13 03:21:07:968 [main ] INFO  - Country [code=DNK  , name=Denmark                                 , lanuages=Europe                                                                                     cities=5330000] 
2019 07 13 03:21:07:973 [main ] INFO  - Country [code=DOM  , name=Dominican Republic                      , lanuages=North America                                                                              cities=8495000] 
2019 07 13 03:21:07:979 [main ] INFO  - Country [code=DZA  , name=Algeria                                 , lanuages=Africa                                                                                     cities=31471000] 
2019 07 13 03:21:07:984 [main ] INFO  - Country [code=ECU  , name=Ecuador                                 , lanuages=South America                                                                              cities=12646000] 
2019 07 13 03:21:07:993 [main ] INFO  - Country [code=EGY  , name=Egypt                                   , lanuages=Africa                                                                                     cities=68470000] 
2019 07 13 03:21:07:998 [main ] INFO  - Country [code=ERI  , name=Eritrea                                 , lanuages=Africa                                                                                     cities=3850000] 
2019 07 13 03:21:08:003 [main ] INFO  - Country [code=ESH  , name=Western Sahara                          , lanuages=Africa                                                                                     cities=293000] 
2019 07 13 03:21:08:009 [main ] INFO  - Country [code=ESP  , name=Spain                                   , lanuages=Europe                                                                                     cities=39441700] 
2019 07 13 03:21:08:013 [main ] INFO  - Country [code=EST  , name=Estonia                                 , lanuages=Europe                                                                                     cities=1439200] 
2019 07 13 03:21:08:019 [main ] INFO  - Country [code=ETH  , name=Ethiopia                                , lanuages=Africa                                                                                     cities=62565000] 
2019 07 13 03:21:08:024 [main ] INFO  - Country [code=FIN  , name=Finland                                 , lanuages=Europe                                                                                     cities=5171300] 
2019 07 13 03:21:08:028 [main ] INFO  - Country [code=FJI  , name=Fiji Islands                            , lanuages=Oceania                                                                                    cities=817000] 
2019 07 13 03:21:08:033 [main ] INFO  - Country [code=FLK  , name=Falkland Islands                        , lanuages=South America                                                                              cities=2000] 
2019 07 13 03:21:08:040 [main ] INFO  - Country [code=FRA  , name=France                                  , lanuages=Europe                                                                                     cities=59225700] 
2019 07 13 03:21:08:045 [main ] INFO  - Country [code=FRO  , name=Faroe Islands                           , lanuages=Europe                                                                                     cities=43000] 
2019 07 13 03:21:08:049 [main ] INFO  - Country [code=FSM  , name=Micronesia, Federated States of         , lanuages=Oceania                                                                                    cities=119000] 
2019 07 13 03:21:08:055 [main ] INFO  - Country [code=GAB  , name=Gabon                                   , lanuages=Africa                                                                                     cities=1226000] 
2019 07 13 03:21:08:065 [main ] INFO  - Country [code=GBR  , name=United Kingdom                          , lanuages=Europe                                                                                     cities=59623400] 
2019 07 13 03:21:08:074 [main ] INFO  - Country [code=GEO  , name=Georgia                                 , lanuages=Asia                                                                                       cities=4968000] 
2019 07 13 03:21:08:079 [main ] INFO  - Country [code=GHA  , name=Ghana                                   , lanuages=Africa                                                                                     cities=20212000] 
2019 07 13 03:21:08:083 [main ] INFO  - Country [code=GIB  , name=Gibraltar                               , lanuages=Europe                                                                                     cities=25000] 
2019 07 13 03:21:08:090 [main ] INFO  - Country [code=GIN  , name=Guinea                                  , lanuages=Africa                                                                                     cities=7430000] 
2019 07 13 03:21:08:095 [main ] INFO  - Country [code=GLP  , name=Guadeloupe                              , lanuages=North America                                                                              cities=456000] 
2019 07 13 03:21:08:100 [main ] INFO  - Country [code=GMB  , name=Gambia                                  , lanuages=Africa                                                                                     cities=1305000] 
2019 07 13 03:21:08:107 [main ] INFO  - Country [code=GNB  , name=Guinea-Bissau                           , lanuages=Africa                                                                                     cities=1213000] 
2019 07 13 03:21:08:111 [main ] INFO  - Country [code=GNQ  , name=Equatorial Guinea                       , lanuages=Africa                                                                                     cities=453000] 
2019 07 13 03:21:08:117 [main ] INFO  - Country [code=GRC  , name=Greece                                  , lanuages=Europe                                                                                     cities=10545700] 
2019 07 13 03:21:08:121 [main ] INFO  - Country [code=GRD  , name=Grenada                                 , lanuages=North America                                                                              cities=94000] 
2019 07 13 03:21:08:127 [main ] INFO  - Country [code=GRL  , name=Greenland                               , lanuages=North America                                                                              cities=56000] 
2019 07 13 03:21:08:131 [main ] INFO  - Country [code=GTM  , name=Guatemala                               , lanuages=North America                                                                              cities=11385000] 
2019 07 13 03:21:08:135 [main ] INFO  - Country [code=GUF  , name=French Guiana                           , lanuages=South America                                                                              cities=181000] 
2019 07 13 03:21:08:140 [main ] INFO  - Country [code=GUM  , name=Guam                                    , lanuages=Oceania                                                                                    cities=168000] 
2019 07 13 03:21:08:144 [main ] INFO  - Country [code=GUY  , name=Guyana                                  , lanuages=South America                                                                              cities=861000] 
2019 07 13 03:21:08:148 [main ] INFO  - Country [code=HKG  , name=Hong Kong                               , lanuages=Asia                                                                                       cities=6782000] 
2019 07 13 03:21:08:152 [main ] INFO  - Country [code=HMD  , name=Heard Island and McDonald Islands       , lanuages=Antarctica                                                                                 cities=0] 
2019 07 13 03:21:08:158 [main ] INFO  - Country [code=HND  , name=Honduras                                , lanuages=North America                                                                              cities=6485000] 
2019 07 13 03:21:08:163 [main ] INFO  - Country [code=HRV  , name=Croatia                                 , lanuages=Europe                                                                                     cities=4473000] 
2019 07 13 03:21:08:168 [main ] INFO  - Country [code=HTI  , name=Haiti                                   , lanuages=North America                                                                              cities=8222000] 
2019 07 13 03:21:08:175 [main ] INFO  - Country [code=HUN  , name=Hungary                                 , lanuages=Europe                                                                                     cities=10043200] 
2019 07 13 03:21:08:185 [main ] INFO  - Country [code=IDN  , name=Indonesia                               , lanuages=Asia                                                                                       cities=212107000] 
2019 07 13 03:21:08:209 [main ] INFO  - Country [code=IND  , name=India                                   , lanuages=Asia                                                                                       cities=1013662000] 
2019 07 13 03:21:08:211 [main ] INFO  - Country [code=IOT  , name=British Indian Ocean Territory          , lanuages=Africa                                                                                     cities=0] 
2019 07 13 03:21:08:215 [main ] INFO  - Country [code=IRL  , name=Ireland                                 , lanuages=Europe                                                                                     cities=3775100] 
